symbol,name
20MICRONS.NS,20 Microns Limited
21STCENMGM.NS,21st Century Management Services Limited
360ONE.NS,360 ONE WAM LIMITED
3IINFOLTD.NS,3i Infotech Limited
3MINDIA.NS,3M India Limited
3PLAND.NS,3P Land Holdings Limited
5PAISA.NS,5Paisa Capital Limited
63MOONS.NS,63 moons technologies limited
A2ZINFRA.NS,A2Z Infra Engineering Limited
AAATECH.NS,AAA Technologies Limited
AADHARHFC.NS,Aadhar Housing Finance Limited
AAKASH.NS,Aakash Exploration Services Limited
AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited
AARON.NS,Aaron Industries Limited
AARTECH.NS,Aartech Solonics Limited
AARTIDRUGS.NS,Aarti Drugs Limited
AARTIIND.NS,Aarti Industries Limited
AARTIPHARM.NS,Aarti Pharmalabs Limited
AARTISURF.NS,Aarti Surfactants Limited
AARVI.NS,Aarvi Encon Limited
AAVAS.NS,Aavas Financiers Limited
ABAN.NS,Aban Offshore Limited
ABB.NS,ABB India Limited
ABBOTINDIA.NS,Abbott India Limited
ABCAPITAL.NS,Aditya Birla Capital Limited
ABCOTS.NS,A B Cotspin India Limited
ABDL.NS,Allied Blenders and Distillers Limited
ABFRL.NS,Aditya Birla Fashion and Retail Limited
ABGSEC.NS,[ETF] AdityaBirlaSunLifeMF-Aditya Birla Sun Life CRISIL Broad Based Gilt ETF
ABINFRA.NS,A B Infrabuild Limited
ABLBL.NS,Aditya Birla Lifestyle Brands Limited
ABMINTLLTD.NS,ABM International Limited
ABREL.NS,Aditya Birla Real Estate Limited
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited
ABSLBANETF.NS,[ETF] Aditya Birla Sun Life Nifty Bank ETF
ABSLLIQUID.NS,[ETF] Aditya Birla Sun Life CRISIL Liquid Overnight ETF
ABSLNN50ET.NS,[ETF] Aditya Birla Sun Life Nifty Next 50 ETF
ABSLPSE.NS,[ETF] Aditya Birla Sun Life Mutual Fund-Aditya Birla Sun Life Nifty PSE ETF
ACC.NS,ACC Limited
ACCELYA.NS,Accelya Solutions India Limited
ACCURACY.NS,Accuracy Shipping Limited
ACE.NS,Action Construction Equipment Limited
ACEINTEG.NS,Ace Integrated Solutions Limited
ACI.NS,Archean Chemical Industries Limited
ACL.NS,Andhra Cements Limited
ACMESOLAR.NS,Acme Solar Holdings Limited
ACUTAAS.NS,Acutaas Chemicals Limited
ADANIENSOL.NS,Adani Energy Solutions Limited
ADANIENT.NS,Adani Enterprises Limited
ADANIGREEN.NS,Adani Green Energy Limited
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited
ADANIPOWER.NS,Adani Power Limited
ADFFOODS.NS,ADF Foods Limited
ADL.NS,Archidply Decor Limited
ADOR.NS,Ador Welding Limited
ADROITINFO.NS,Adroit Infotech Limited
ADSL.NS,Allied Digital Services Limited
ADVAIT.NS,Advait Energy Transitions Limited
ADVANCE.NS,Advance Agrolife Limited
ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited
ADVENTHTL.NS,Advent Hotels International Limited
ADVENZYMES.NS,Advanced Enzyme Technologies Limited
AEGISLOG.NS,Aegis Logistics Limited
AEGISVOPAK.NS,Aegis Vopak Terminals Limited
AEQUS.NS,Aequs Limited
AEROENTER.NS,Aeroflex Enterprises Limited
AEROFLEX.NS,Aeroflex Industries Limited
AERONEU.NS,Aeroflex Neu Limited
AETHER.NS,Aether Industries Limited
AFCONS.NS,Afcons Infrastructure Limited
AFFLE.NS,Affle 3i Limited
AFFORDABLE.NS,Affordable Robotic & Automation Limited
AFIL.NS,Akme Fintrade (India) Limited
AFSL.NS,Abans Financial Services Limited
AGARIND.NS,Agarwal Industrial Corporation Limited
AGARWALEYE.NS,Dr. Agarwal's Health Care Limited
AGI.NS,AGI Greenpac Limited
AGIIL.NS,Agi Infra Limited
AGRITECH.NS,Agri-Tech (India) Limited
AGROPHOS.NS,Agro Phos India Limited
AGSTRA.NS,AGS Transact Technologies Limited
AHCL.NS,Anlon Healthcare Limited
AHLADA.NS,Ahlada Engineers Limited
AHLEAST.NS,Asian Hotels (East) Limited
AHLUCONT.NS,Ahluwalia Contracts (India) Limited
AIAENG.NS,AIA Engineering Limited
AIIL.NS,Authum Investment & Infrastructure Limited
AIRAN.NS,Airan Limited
AIROLAM.NS,Airo Lam limited
AJANTPHARM.NS,Ajanta Pharma Limited
AJAXENGG.NS,Ajax Engineering Limited
AJMERA.NS,Ajmera Realty & Infra India Limited
AJOONI.NS,Ajooni Biotech Limited
AKASH.NS,Akash Infra-Projects Limited
AKG.NS,Akg Exim Limited
AKI.NS,AKI India Limited
AKSHAR.NS,Akshar Spintex Limited
AKSHARCHEM.NS,AksharChem India Limited
AKSHOPTFBR.NS,Aksh Optifibre Limited
AKUMS.NS,Akums Drugs and Pharmaceuticals Limited
AKZOINDIA.NS,Akzo Nobel India Limited
ALANKIT.NS,Alankit Limited
ALBERTDAVD.NS,Albert David Limited
ALEMBICLTD.NS,Alembic Limited
ALGOQUANT.NS,Algoquant Fintech Limited
ALICON.NS,Alicon Castalloy Limited
ALIVUS.NS,Alivus Life Sciences Limited
ALKALI.NS,Alkali Metals Limited
ALKEM.NS,Alkem Laboratories Limited
ALKYLAMINE.NS,Alkyl Amines Chemicals Limited
ALLCARGO.NS,Allcargo Logistics Limited
ALLDIGI.NS,Alldigi Tech Limited
ALLTIME.NS,All Time Plastics Limited
ALMONDZ.NS,Almondz Global Securities Limited
ALOKINDS.NS,Alok Industries Limited
ALPA.NS,Alpa Laboratories Limited
ALPHA.NS,[ETF] Kotak Mahindra Mutual Fund - Kotak Nifty Alpha 50 ETF
ALPHAETF.NS,[ETF] Mirae Asset Mutual Fund - Mirae Asset Nifty 200 Alpha 30 ETF
ALPHAGEO.NS,Alphageo (India) Limited
ALPL30IETF.NS,[ETF] ICICI Prudential Nifty Alpha Low Volatility 30 ETF
AMAGI.NS,Amagi Media Labs Limited
AMANTA.NS,Amanta Healthcare Limited
AMBER.NS,Amber Enterprises India Limited
AMBICAAGAR.NS,Ambica Agarbathies & Aroma industries Limited
AMBIKCO.NS,Ambika Cotton Mills Limited
AMBUJACEM.NS,Ambuja Cements Limited
AMDIND.NS,AMD Industries Limited
AMJLAND.NS,Amj Land Holdings Limited
AMNPLST.NS,Amines & Plasticizers Limited
AMRUTANJAN.NS,Amrutanjan Health Care Limited
ANANDRATHI.NS,Anand Rathi Wealth Limited
ANANTRAJ.NS,Anant Raj Limited
ANDHRAPAP.NS,ANDHRA PAPER LIMITED
ANDHRSUGAR.NS,The Andhra Sugars Limited
ANGELONE.NS,Angel One Limited
ANIKINDS.NS,Anik Industries Limited
ANKITMETAL.NS,Ankit Metal & Power Limited
ANMOL.NS,Anmol India Limited
ANSALAPI.NS,Ansal Properties & Infrastructure Limited
ANTELOPUS.NS,Antelopus Selan Energy Limited
ANTGRAPHIC.NS,Antarctica Limited
ANTHEM.NS,Anthem Biosciences Limited
ANUHPHR.NS,Anuh Pharma Limited
ANUP.NS,The Anup Engineering Limited
ANURAS.NS,Anupam Rasayan India Limited
AONEGOLD.NS,[ETF] Angel One Mutual Fund - Angel One Gold ETF
AONELIQUID.NS,[ETF] Angel One Mutual Fund - Angel One Nifty 1D Rate Liquid ETF - Growth
AONENIFTY.NS,[ETF] Angel One Mutual Fund - Angel One Nifty 50 ETF
AONETMMQ50.NS,[ETF] Angel One MF - Angel One Nifty Total Market Momentum Quality 50 ETF
AONETOTAL.NS,[ETF] Angel One Mutual Fund - Angel One Nifty Total Market ETF
APARINDS.NS,Apar Industries Limited
APCL.NS,Anjani Portland Cement Limited
APCOTEXIND.NS,Apcotex Industries Limited
APEX.NS,Apex Frozen Foods Limited
APLAPOLLO.NS,APL Apollo Tubes Limited
APLLTD.NS,Alembic Pharmaceuticals Limited
APOLLO.NS,Apollo Micro Systems Limited
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited
APOLLOPIPE.NS,Apollo Pipes Limited
APOLLOTYRE.NS,Apollo Tyres Limited
APOLSINHOT.NS,Apollo Sindoori Hotels Limited
APTECHT.NS,Aptech Limited
APTUS.NS,Aptus Value Housing Finance India Limited
ARCHIDPLY.NS,Archidply Industries Limited
ARCHIES.NS,Archies Limited
ARE&M.NS,Amara Raja Energy & Mobility Limited
ARENTERP.NS,Rajdarshan Industries Limited
ARFIN.NS,Arfin India Limited
ARIES.NS,Aries Agro Limited
